Algorithm,TestMode,N,Runtime(ms),FillRatio,Height
BL,High Std Normal Distribution,6000,5157.3333,0.8979,15582
BL_Online,High Std Normal Distribution,6000,14206.3333,0.8347,16762
NFDH,Identical Rectangles,8000,184.3400,0.8996,20010
FFDH,Identical Rectangles,8000,175.8400,0.8996,20010
BFDH,Identical Rectangles,8000,176.1800,0.8996,20010
BL,Identical Rectangles,8000,11694.6667,0.8996,20010
BL_Online,Identical Rectangles,8000,9239.0000,0.8996,20010
NFDH,Uniform Distribution,8000,1.3400,0.9007,21273
FFDH,Uniform Distribution,8000,13.6500,0.9994,19173
BFDH,Uniform Distribution,8000,16.6000,0.9994,19173
BL,Uniform Distribution,8000,11937.3333,0.8989,21316
BL_Online,Uniform Distribution,8000,20833.3333,0.8366,22902
NFDH,High Std Normal Distribution,8000,1.0400,0.8964,20765
FFDH,High Std Normal Distribution,8000,6.0400,0.9984,18644
BFDH,High Std Normal Distribution,8000,7.2500,0.9984,18644
BL,High Std Normal Distribution,8000,8679.6667,0.9005,20672
BL_Online,High Std Normal Distribution,8000,21139.3333,0.8335,22332
NFDH,Identical Rectangles,10000,144.1000,0.8998,25005
FFDH,Identical Rectangles,10000,152.9000,0.8998,25005
BFDH,Identical Rectangles,10000,158.0000,0.8998,25005
BL,Identical Rectangles,10000,9095.0000,0.8998,25005
BL_Online,Identical Rectangles,10000,9057.6667,0.8998,25005
NFDH,Uniform Distribution,10000,1.5000,0.9004,26701
FFDH,Uniform Distribution,10000,9.4000,0.9994,24058
BFDH,Uniform Distribution,10000,9.7000,0.9994,24058
BL,Uniform Distribution,10000,12236.6667,0.8991,26740
BL_Online,Uniform Distribution,10000,33202.0000,0.8372,28716
NFDH,High Std Normal Distribution,10000,1.6000,0.8984,26099
FFDH,High Std Normal Distribution,10000,9.8000,0.9989,23473
BFDH,High Std Normal Distribution,10000,10.5000,0.9989,23473
BL,High Std Normal Distribution,10000,13098.6667,0.8999,26055
BL_Online,High Std Normal Distribution,10000,33201.6667,0.8338,28121
